Date,DoW,fDoW,lDoW
12/20/2025 12:00:00 AM,7,12/14/2025 12:00:00 AM,12/20/2025 12:00:00 AM
12/21/2025 12:00:00 AM,1,12/21/2025 12:00:00 AM,12/27/2025 12:00:00 AM
12/22/2025 12:00:00 AM,2,12/21/2025 12:00:00 AM,12/27/2025 12:00:00 AM
12/23/2025 12:00:00 AM,3,12/21/2025 12:00:00 AM,12/27/2025 12:00:00 AM
12/24/2025 12:00:00 AM,4,12/21/2025 12:00:00 AM,12/27/2025 12:00:00 AM
12/25/2025 12:00:00 AM,5,12/21/2025 12:00:00 AM,12/27/2025 12:00:00 AM
12/26/2025 12:00:00 AM,6,12/21/2025 12:00:00 AM,12/27/2025 12:00:00 AM
12/27/2025 12:00:00 AM,7,12/21/2025 12:00:00 AM,12/27/2025 12:00:00 AM
12/28/2025 12:00:00 AM,1,12/28/2025 12:00:00 AM,1/3/2026 12:00:00 AM
12/29/2025 12:00:00 AM,2,12/28/2025 12:00:00 AM,1/3/2026 12:00:00 AM
12/30/2025 12:00:00 AM,3,12/28/2025 12:00:00 AM,1/3/2026 12:00:00 AM
12/31/2025 12:00:00 AM,4,12/28/2025 12:00:00 AM,1/3/2026 12:00:00 AM
1/1/2026 12:00:00 AM,5,12/28/2025 12:00:00 AM,1/3/2026 12:00:00 AM
1/2/2026 12:00:00 AM,6,12/28/2025 12:00:00 AM,1/3/2026 12:00:00 AM
1/3/2026 12:00:00 AM,7,12/28/2025 12:00:00 AM,1/3/2026 12:00:00 AM
1/4/2026 12:00:00 AM,1,1/4/2026 12:00:00 AM,1/10/2026 12:00:00 AM
1/5/2026 12:00:00 AM,2,1/4/2026 12:00:00 AM,1/10/2026 12:00:00 AM
1/6/2026 12:00:00 AM,3,1/4/2026 12:00:00 AM,1/10/2026 12:00:00 AM
1/7/2026 12:00:00 AM,4,1/4/2026 12:00:00 AM,1/10/2026 12:00:00 AM
1/8/2026 12:00:00 AM,5,1/4/2026 12:00:00 AM,1/10/2026 12:00:00 AM
1/9/2026 12:00:00 AM,6,1/4/2026 12:00:00 AM,1/10/2026 12:00:00 AM
1/10/2026 12:00:00 AM,7,1/4/2026 12:00:00 AM,1/10/2026 12:00:00 AM
1/11/2026 12:00:00 AM,1,1/11/2026 12:00:00 AM,1/17/2026 12:00:00 AM
1/12/2026 12:00:00 AM,2,1/11/2026 12:00:00 AM,1/17/2026 12:00:00 AM
1/13/2026 12:00:00 AM,3,1/11/2026 12:00:00 AM,1/17/2026 12:00:00 AM
1/14/2026 12:00:00 AM,4,1/11/2026 12:00:00 AM,1/17/2026 12:00:00 AM
1/15/2026 12:00:00 AM,5,1/11/2026 12:00:00 AM,1/17/2026 12:00:00 AM
1/16/2026 12:00:00 AM,6,1/11/2026 12:00:00 AM,1/17/2026 12:00:00 AM
1/17/2026 12:00:00 AM,7,1/11/2026 12:00:00 AM,1/17/2026 12:00:00 AM
1/18/2026 12:00:00 AM,1,1/18/2026 12:00:00 AM,1/24/2026 12:00:00 AM
1/19/2026 12:00:00 AM,2,1/18/2026 12:00:00 AM,1/24/2026 12:00:00 AM
1/20/2026 12:00:00 AM,3,1/18/2026 12:00:00 AM,1/24/2026 12:00:00 AM
